ID,Type,Name,enclosed by,accessible from ,Usage,,,
0,,Shore,S,,,,,
1,,swim deck,S,0,,,,
2,,cockpit,S,"1,3,4",,,,
3,,upper companionway,S,"2,5",,,,
4,,top deck stb aft,S,0,,,,
5,,lower companionway,S,"3,9",,,,
6,,saloon,S,"5,10",,,,
7,,galley,S,6,,,,
8,,port aft cabin,S,5,,,,
9,,stb aft cabin,S,5,,,,
10,,corridor,S,6,,,,
11,,port fwd cabin,S,11,,,,
12,,stb fwd cabin,S,11,,,,
13,,fwd shower,S,11,,,,
14,,fwd heads,S,10,,,,
15,,stb aft heads,S,9,,,,
16,,port aft heads,S,8,,,,
17,,top deck aft port,S,2,,,,
18,,top deck amidships,S,"17,19",,,,
19,,foredeck,S,18,,,,
20,,pullpit,S,19,,,,
21,,floor lazarette,L,2,Large under floor locker at stern of cockpit,,,
22,,helm port,S,"1,2",,,,
23,,helm stb,S,"1,2",,,,
24,,cockpit seat locker stb,L,2,,,,
25,,cockpit seat locker port,L,2,,,,
26,,gas locker,L,22,,,,
27,,Engine Compartment,C,5,,,,
28,,Landing port floor locker,FL,5,,,,
29,,Landing stb floor locker,FL,5,,,,
30,,Landing cupboard,L,5,,,,2.4
31,,Landing top shelf,S,5,Where keys are kept,,,1.6
32,,Landing mid shelf,S,5,Glass cover,,,
33,,Fridge,L,7,,,,
34,,Coolbox,L,7,,,,
35,,Galley top draw,D,7,Cutlery draw,,,
36,,Galley mid drawer,D,7,Pots and pans,,,
37,,Under stove cupboard,L,7,Serving plates and cutting boards,,,
38,,Under sink aft,C,7,,,,
39,,Under sink fwd,C,7,Rubbish bin,,,
40,,Galley overhead cupboard 1 (aft),C,7,,,,
41,,Galley overhead cupboard 2,C,7,,,,
42,,Galley overhead cupboard 3,C,7,,,,
43,,Galley overhead cupboard 4 (fwd),C,7,,,,
44,,Oven,C,7,,,,
45,,Galley shelf,S,7,,,,
46,,Galley console shelf,S,"6,7",,,,
47,,Galley console lower cupboard,C,7,,,,
48,,Galley console lower cupboard fwd,C,7,,,,
49,,Galley console lower cupboard aft,C,7,,,,
50,,Galley floor locker 1 (aft),FL,7,,,,
51,,Galley floor locker 2,FL,7,,,,
52,,Galley floor locker 3,FL,7,,,,
53,,Galley floor locker 4 (fwd),FL,7,,,,
54,,Saloon keel floor locker 1,FL,6,,,,
55,,Saloon keel floor locker 2,FL,6,,,,
56,,Saloon keel floor locker 3,FL,6,,,,
57,,Saloon outboard floor locker 1,FL,6,,,,
58,,Saloon outboard floor locker 2,FL,6,,,,
59,,Saloon outboard floor locker 3,FL,6,,,,
60,,Saloon table locker aft,L,6,,,,
61,,Saloon table locker fwd,L,6,,,,
62,,Saloon seat locker fwd inboard,L,6,,,,
63,,Saloon seat locker fwd outboard,L,6,,,,
64,,Saloon seat locker aft,L,6,,,,
65,,Saloon seat locker middle,L,6,,,,
66,,Saloon backrest locker 1,L,6,,,,
67,,Saloon backrest locker 2,L,6,,,,
68,,Saloon backrest locker 3,L,6,,,,
69,,Saloon backrest locker 4,L,6,,,,
70,,Saloon shelf fwd,S,6,,,,
71,,Saloon shelf aft,S,6,,,,
72,,Saloon shelf upper,S,6,Above swithchboard,,,
73,,Saloon cupboard 1,C,6,,,,
74,,Saloon cupboard 2,C,6,,,,
75,,Saloon cupboard 3,C,6,,,,
76,,Saloon cupboard 4,C,6,,,,
77,,Overhead locker 1,C,12,,,,
78,,Overhead locker 2,C,12,,,,
79,,Overhead locker 3,C,12,,,,
80,,Shelf fwd,S,12,,,,
81,,Shelf aft,S,12,,,,
82,,Wardrobe,C,12,,,,
83,,Seat locker,L,12,,,,
84,,Under bunk locker fwd,L,12,,,,
85,,Under bunk locker aft,L,12,,,,
86,,Floor locker,L,12,,,,
87,,Overhead locker 1,C,11,,,,
88,,Overhead locker 2,C,11,,,,
89,,Overhead locker 3,C,11,,,,
90,,Shelf fwd,S,11,,,,
91,,Shelf aft,S,11,,,,
92,,Wardrobe,C,11,,,,
93,,Seat locker,L,11,,,,
94,,Under bunk locker fwd,L,11,,,,
95,,Under bunk locker aft,L,11,,,,
96,,Floor locker,L,11,,,,
97,,Floor locker stb,L,10,,,,
98,,Floor locker port,L,10,,,,
99,,Under sink cupboard,C,14,,,,
100,,Upper cupboard,C,14,,,,
101,,Top shelf,S,100,,,,
102,,Mid shelf,S,100,,,,
103,,Bottom shelf,S,100,,,,
104,,Shelf,S,13,,,,
105,,Cupboard fwd,C,13,,,,
106,,Cupboard aft,C,13,,,,
107,,Under sink cupboard,C,8,,,,
108,,Upper cupboard,C,8,,,,
109,,Sink Shelf,S,8,,,,
110,,Upper shelf,S,8,,,,
111,,Under sink cupboard,C,15,,,,
112,,Upper cupboard,C,15,,,,
113,,Sink Shelf,S,15,,,,
114,,Upper shelf,S,15,,,,
115,,Port transom locker,L,11,,,,
116,,Stb transom locker,L,12,,,,
117,,Aft cabin separation locker,C,"11,12",,,,
118,,Sail locker,L,19,,,,
119,,Shelf port,S,118,,,,
120,,Shelf stb,S,118,,,,
121,,Shelf aft,S,118,,,,
122,,Chain locker,L,118,,,,
123,,Landing,S,,,,,
124,,corridor port floor locker,FL,,,,,
125,,corridor stb floor locker,FL,,,,,
126,,water refill locker,FL,,,,,
127,,diesel refill locker,FL,,,,,
128,,Bow thruster motor compartment,C,,,,,
129,,Genset space,C,,,,,